ma1,ma2,ma3,ma4,ma5,ma6,g1,g2,g3,g4,g5,g6
-0.5021830970965289,-0.17665740288887363,-0.39016380654351146,6.57011455258676e-05,0.5667941074616029,-0.5021008480465614,-1.0760376492799315,-0.3784566749512999,-0.835974716723172,3.548509019594554e-05,1.2145643247986888,-1.0759857838183593
-0.5156934958842792,-0.1405919927989291,-0.4205600081931426,3.773144880009251e-05,0.5610472666802011,-0.515700507166295,-1.1051101557621934,-0.30117084440941827,-0.9011044544868735,4.0132390448570436e-05,1.2022185607119604,-1.1051586459772702
-0.5495088925188997,-0.17023758412711196,-0.4591557083547796,-1.8534607757646207e-05,0.6292952042595448,-0.5494781083174954,-1.0990627945253426,-0.34050524866144055,-0.9182863809449822,-5.417121830077754e-05,1.258640449475295,-1.0989457361635642
-0.8061246219315804,-0.16972406937718612,-0.6821541661154726,1.9939216686408955e-07,0.8519814217453829,-0.8061690434705755,-1.6122937632119247,-0.3393733358012206,-1.364372460496857,-2.5526091524779156e-05,1.7038731014362458,-1.6122738506461842
-0.7512378624027428,-0.15988185155754733,-0.6096893735047401,4.4951912737648886e-05,0.7694200289147906,-0.7513463398890072,-1.5776518167177855,-0.33572544624398865,-1.2803003272196822,5.6948307231068315e-05,1.6158549556350097,-1.577800836441582
-0.5644296432895511,-0.19408462997289955,-0.4693083094007546,2.991430567758631e-05,0.6633059503155946,-0.5643860860123031,-1.199478806452835,-0.4124069590585241,-0.9972300859642171,8.256930401874868e-05,1.4095772652408842,-1.1993715353551107
-0.49416005808286095,-0.18171631881528252,-0.36304316584438984,-1.7881075465539146e-07,0.5447495540764388,-0.4941616819590422,-1.0590044111398433,-0.3894154645432331,-0.7779798725589682,-3.612277045257154e-05,1.1673364147055694,-1.058937062613687
-0.5659783605510054,-0.1444273821558066,-0.4895557571527321,3.6123224737202934e-05,0.6339838680202697,-0.5658364387481541,-1.2026152505900858,-0.3069312013043981,-1.04025153302557,8.27531956184923e-07,1.3471374922613908,-1.2025054194744869
-0.5573604250212201,-0.14171675959356214,-0.46813952830808897,5.227004490335734e-05,0.6098192650468255,-0.5574235179376397,-1.1146765292230345,-0.2834867434120752,-0.9361857504527112,3.968539766203669e-05,1.219715926229917,-1.114758352240465
-0.5461487912707611,-0.1729321700796555,-0.44151788579551565,-3.2422125168466096e-06,0.6143934110181297,-0.5460747456219986,-1.0922358178001768,-0.34594831689991856,-0.883008308647504,-3.11984700894669e-05,1.2288046844984657,-1.0922244030520865
-0.7964908873705273,-0.20165676624000056,-0.6326393906860875,3.120991876566088e-05,0.8344302884681178,-0.7965624265665863,-1.5930419531001763,-0.40326348364409614,-1.2653777092796046,2.663195182841251e-05,1.6687950993612923,-1.5930263209140492
-0.5118007452188769,-0.13791777669961824,-0.39690570307598544,-2.9526763195859193e-05,0.5347344535309144,-0.511773495216807,-1.0966190463364753,-0.2954517270833258,-0.8505619200030062,-2.5576508247651282e-05,1.145809385242498,-1.096663475092661
-0.5601806273598632,-0.12296293535824947,-0.4818263034141098,3.499428569588043e-05,0.6047649301592882,-0.5602878517829691,-1.1204178259248299,-0.24599990773866973,-0.9637064631472942,-2.102222122599083e-05,1.2095394880744224,-1.1205355460097344
-0.7011322180704285,-0.15462150828673368,-0.49189876834784313,-1.6928930319980474e-05,0.6466305830499394,-0.701099641408785,-1.480059265502968,-0.32650848492747764,-1.0384937148540436,-5.538722773105699e-05,1.365095639349197,-1.4799903744981617
-0.5552131154911026,-0.1454201375054781,-0.4668550038613145,-8.484747512944768e-06,0.6123015470382064,-0.5552021619001032,-1.1105031881060805,-0.29078159490990063,-0.9336583618507566,7.244518059506842e-05,1.2245942335787083,-1.1104504770699901
-0.5271919563885019,-0.21889505221833408,-0.45853319914396246,7.5908742277981314e-06,0.6774109861476928,-0.527258971311557,-1.1202026288176024,-0.46517763682959445,-0.9743240553757294,-6.577546081145205e-05,1.4394373546652965,-1.1203176519367197
-0.8053473680341385,-0.041536494753723965,-0.8042514242417536,-3.3384223052406986e-05,0.8458333188063922,-0.8053744501112029,-1.6106318496336085,-0.0831012195169957,-1.6084602425861325,1.4840363440849546e-05,1.6916428865392215,-1.6107648467655007
-0.5080591742254689,-0.14788059169124596,-0.3889999568962218,-2.6444927495078285e-05,0.5368905101214311,-0.508008500452603,-1.0887603931709742,-0.3168115912167166,-0.8335244414277124,2.2032676616296244e-05,1.1504232617333547,-1.0886033156084065
-0.49844335183218247,-0.185159096628313,-0.38189457456039066,-5.196710837079286e-05,0.5671953607670419,-0.4984553324727018,-1.0681437423787459,-0.3968853300747463,-0.8183141286373489,-8.300478265754352e-05,1.215323718803986,-1.0680936189119827
-0.5610757699767985,-0.14626390846045245,-0.46361878924151795,-2.0896253281778727e-05,0.6098593506985006,-0.5610324633565273,-1.1923608775497911,-0.31085192406070156,-0.98523420437082,2.1577215784735227e-05,1.2959266145502129,-1.1922533946318548
-0.5051126096322908,-0.15215111133647927,-0.37740193092724783,4.288938942739397e-05,0.5296073404220605,-0.5050002686063113,-1.0822721046098818,-0.32600895931967394,-0.8087682768615917,3.3420833597297216e-05,1.1348396859579735,-1.082130573491903
-0.49535735783523616,-0.19001897541089022,-0.3724093825242106,-3.878644837242833e-05,0.5623495818887232,-0.49527851521063065,-1.0615608620645784,-0.4070861302405563,-0.7979864107213356,-4.488919515453249e-05,1.205141621844077,-1.0613765725756303
-0.5747955132520275,-0.10666259224811418,-0.5432864895484987,-6.396166054158815e-05,0.6498891524944128,-0.5747775518535799,-1.149656856286346,-0.21330473627011334,-1.086599541480625,-2.7581879109159565e-05,1.2997429128749354,-1.1496065238428603
-0.5571410716832393,-0.16143187849089785,-0.4545526472634808,-6.666520524000495e-05,0.6158524384637958,-0.557099116499226,-1.1840140064132463,-0.3430127450023836,-0.9658491409816594,-7.223944008407886e-05,1.3086808606346345,-1.183932858014773
-0.515246770402044,-0.1334773869061221,-0.41111288142320984,-1.609547288041246e-05,0.5446043471675281,-0.5152779753356074,-1.1041983303804226,-0.2859789708849086,-0.8808626559520485,-5.3878805946242735e-05,1.1669264998516726,-1.1041868407886501
-0.5700764247547819,-0.11118397009886272,-0.5169954552823052,7.100789656237396e-05,0.6282043047173209,-0.570112786967409,-1.1402469977205734,-0.22233686388827612,-1.03403227353738,8.269241617527628e-05,1.2563250614545272,-1.140277660532317
